y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
284.13,19.176,-0.7075,2.894,0.99749,1.3692,0.7075,0.010115,0.71761,-0.99724,3.644,0.39305
288.44,19.22,-0.70354,2.8758,0.99273,1.3608,0.70354,0.0099867,0.71353,-0.99247,3.6039,0.39301
292.78,19.263,-0.69955,2.8578,0.98796,1.3525,0.69955,0.0098571,0.70941,-0.98769,3.564,0.39299
297.15,19.305,-0.69554,2.8398,0.98318,1.3441,0.69554,0.0097304,0.70527,-0.9829,3.5245,0.39303
301.54,19.348,-0.6915,2.8219,0.9784,1.3357,0.6915,0.0096108,0.70111,-0.97811,3.4852,0.39312
305.96,19.39,-0.68742,2.804,0.97361,1.3272,0.68742,0.0094991,0.69692,-0.97332,3.4465,0.39323
310.4,19.432,-0.68331,2.7861,0.96882,1.3188,0.68331,0.009394,0.6927,-0.96851,3.4083,0.39335
314.88,19.474,-0.67917,2.7681,0.96399,1.3105,0.67917,0.0092931,0.68846,-0.96368,3.3707,0.39343
319.37,19.515,-0.675,2.7501,0.95913,1.3024,0.675,0.0091931,0.6842,-0.9588,3.3336,0.39344
323.9,19.557,-0.67082,2.732,0.95421,1.2943,0.67082,0.0090922,0.67991,-0.95388,3.2969,0.39337
328.45,19.598,-0.6666,2.7138,0.94923,1.2863,0.6666,0.0089905,0.67559,-0.94889,3.2605,0.39324
333.02,19.639,-0.66237,2.6954,0.94419,1.2784,0.66237,0.0088895,0.67125,-0.94384,3.2246,0.39309
337.62,19.679,-0.6581,2.677,0.9391,1.2704,0.6581,0.008792,0.66689,-0.93874,3.1892,0.39293
342.25,19.72,-0.65381,2.6583,0.93397,1.2623,0.65381,0.0086991,0.6625,-0.9336,3.1541,0.39274
346.9,19.76,-0.64948,2.6395,0.9288,1.2542,0.64948,0.0086094,0.65809,-0.92842,3.1194,0.39253
351.57,19.8,-0.64513,2.6206,0.92361,1.246,0.64513,0.0085215,0.65365,-0.92322,3.0848,0.3923
356.27,19.84,-0.64075,2.6015,0.91839,1.2379,0.64075,0.0084345,0.64918,-0.91799,3.0504,0.39204
361,19.88,-0.63634,2.5824,0.91314,1.2298,0.63634,0.008347,0.64469,-0.91273,3.0161,0.39174
365.74,19.919,-0.63191,2.5632,0.90785,1.2217,0.63191,0.0082581,0.64017,-0.90744,2.9819,0.39145
370.51,19.958,-0.62746,2.544,0.90254,1.2136,0.62746,0.0081686,0.63563,-0.90211,2.9479,0.39116
375.31,19.997,-0.62297,2.5248,0.89718,1.2055,0.62297,0.0080804,0.63105,-0.89675,2.9141,0.39089
380.13,20.036,-0.61846,2.5056,0.89179,1.1973,0.61846,0.0079948,0.62645,-0.89135,2.8806,0.39063
384.97,20.074,-0.61392,2.4864,0.88636,1.1889,0.61392,0.0079113,0.62183,-0.88591,2.8474,0.39035
389.84,20.113,-0.60935,2.4671,0.8809,1.1805,0.60935,0.0078304,0.61718,-0.88044,2.8145,0.39002
394.73,20.151,-0.60475,2.4478,0.87541,1.172,0.60475,0.007754,0.6125,-0.87495,2.782,0.38957
399.64,20.189,-0.60012,2.4283,0.86991,1.1633,0.60012,0.0076823,0.6078,-0.86944,2.7498,0.38897
404.58,20.227,-0.59545,2.4085,0.86438,1.1546,0.59545,0.0076145,0.60307,-0.8639,2.7178,0.38818
409.53,20.264,-0.59075,2.3886,0.85881,1.1457,0.59075,0.0075499,0.5983,-0.85833,2.686,0.38718
414.51,20.302,-0.58602,2.3686,0.8532,1.1368,0.58602,0.0074858,0.5935,-0.85271,2.6542,0.38595
419.52,20.339,-0.58126,2.3484,0.84753,1.1279,0.58126,0.0074206,0.58868,-0.84704,2.6225,0.38452
424.54,20.376,-0.57647,2.3283,0.84181,1.1188,0.57647,0.0073551,0.58382,-0.84131,2.5907,0.38292
429.59,20.413,-0.57164,2.3082,0.83605,1.1095,0.57164,0.0072906,0.57893,-0.83555,2.559,0.38117
434.65,20.45,-0.56679,2.2881,0.83026,1.1002,0.56679,0.0072281,0.57401,-0.82975,2.5274,0.37927
439.74,20.486,-0.56189,2.268,0.82445,1.0907,0.56189,0.0071684,0.56906,-0.82394,2.4957,0.37726
444.85,20.523,-0.55697,2.2478,0.81863,1.081,0.55697,0.0071103,0.56408,-0.81811,2.464,0.37518
449.98,20.559,-0.55201,2.2275,0.81279,1.0713,0.55201,0.007051,0.55906,-0.81227,2.4323,0.37307
455.14,20.595,-0.54703,2.2072,0.80696,1.0615,0.54703,0.0069901,0.55402,-0.80643,2.4005,0.37091
460.31,20.631,-0.54201,2.187,0.80112,1.0517,0.54201,0.0069282,0.54894,-0.80059,2.3687,0.36874
465.5,20.667,-0.53697,2.1667,0.79528,1.0417,0.53697,0.0068638,0.54384,-0.79475,2.337,0.36657
470.72,20.703,-0.5319,2.1465,0.78945,1.0317,0.5319,0.0067974,0.5387,-0.78892,2.3055,0.36442
475.95,20.738,-0.52681,2.1263,0.78364,1.0217,0.52681,0.0067304,0.53354,-0.7831,2.2744,0.36229
481.2,20.773,-0.52168,2.106,0.77783,1.0117,0.52168,0.0066617,0.52834,-0.77729,2.2436,0.36018
486.48,20.808,-0.51653,2.0858,0.77203,1.0017,0.51653,0.0065889,0.52312,-0.77149,2.2132,0.35808
491.77,20.843,-0.51136,2.0656,0.76622,0.99159,0.51136,0.0065116,0.51787,-0.76568,2.1833,0.35596
497.08,20.877,-0.50616,2.0455,0.76041,0.9814,0.50616,0.0064322,0.51259,-0.75986,2.1537,0.35376
502.41,20.911,-0.50093,2.0255,0.75458,0.97116,0.50093,0.0063528,0.50728,-0.75404,2.1245,0.35144
507.76,20.945,-0.49567,2.0055,0.74874,0.96088,0.49567,0.0062746,0.50194,-0.7482,2.0955,0.34899
513.13,20.979,-0.49039,1.9857,0.7429,0.95059,0.49039,0.0061981,0.49658,-0.74235,2.0668,0.34644
518.52,21.012,-0.48508,1.9659,0.73706,0.94029,0.48508,0.0061227,0.4912,-0.73651,2.0382,0.34383
523.92,21.045,-0.47975,1.9461,0.73123,0.92996,0.47975,0.0060485,0.4858,-0.73069,2.0098,0.34118
529.34,21.077,-0.47439,1.9264,0.72542,0.91964,0.47439,0.005977,0.48037,-0.72487,1.9815,0.33847
534.78,21.11,-0.46901,1.9067,0.71961,0.90936,0.46901,0.0059092,0.47492,-0.71907,1.9533,0.33565
540.24,21.142,-0.4636,1.8869,0.71381,0.89909,0.4636,0.0058445,0.46945,-0.71327,1.925,0.33266
545.72,21.174,-0.45817,1.8671,0.70801,0.88884,0.45817,0.0057833,0.46395,-0.70747,1.8966,0.3295
551.21,21.205,-0.45272,1.8473,0.70221,0.87864,0.45272,0.0057266,0.45844,-0.70167,1.868,0.32621
556.72,21.237,-0.44724,1.8275,0.69641,0.86853,0.44724,0.0056734,0.45291,-0.69587,1.8394,0.32283
562.25,21.268,-0.44174,1.8076,0.69062,0.85857,0.44174,0.0056202,0.44736,-0.69008,1.8108,0.31937
567.79,21.299,-0.43623,1.7876,0.68484,0.84879,0.43623,0.0055658,0.44179,-0.68431,1.7825,0.31583
573.35,21.33,-0.4307,1.7675,0.67907,0.83917,0.4307,0.0055113,0.43621,-0.67855,1.7545,0.3122
578.93,21.36,-0.42516,1.7474,0.67333,0.82968,0.42516,0.005457,0.43062,-0.6728,1.727,0.30846
584.52,21.391,-0.41961,1.7271,0.66761,0.82029,0.41961,0.0054032,0.42501,-0.66708,1.6999,0.30461
590.13,21.421,-0.41404,1.7068,0.66191,0.81094,0.41404,0.0053505,0.41939,-0.66139,1.6733,0.30063
595.75,21.451,-0.40846,1.6865,0.65624,0.8016,0.40846,0.0052974,0.41375,-0.65573,1.6472,0.29649
601.39,21.48,-0.40287,1.6661,0.65061,0.79221,0.40287,0.0052427,0.40811,-0.6501,1.6214,0.29219
607.04,21.51,-0.39727,1.6458,0.645,0.78279,0.39727,0.0051861,0.40245,-0.6445,1.5958,0.28772
612.71,21.539,-0.39166,1.6255,0.63942,0.77335,0.39166,0.0051276,0.39679,-0.63892,1.5705,0.2831
618.39,21.568,-0.38604,1.6053,0.63385,0.76395,0.38604,0.0050681,0.39111,-0.63335,1.5453,0.27833
624.09,21.597,-0.38042,1.5851,0.62828,0.75461,0.38042,0.0050087,0.38542,-0.62779,1.5201,0.27341
629.8,21.625,-0.37478,1.565,0.62271,0.74537,0.37478,0.0049505,0.37973,-0.62223,1.4949,0.26836
635.53,21.653,-0.36912,1.545,0.61713,0.73622,0.36912,0.0048927,0.37402,-0.61665,1.4697,0.26322
